Clube,Clube.1,name,Plantel,ø Idade,Estrangeiros,ø valor de mercado,Valor de mercado total
,CR Flamengo,69.0,21.5,10,€ 3.10 mi.,€ 214.15 mi.,
,SE Palmeiras,43.0,23.2,8,€ 3.56 mi.,€ 153.10 mi.,
,SC Corinthians,57.0,23.2,11,€ 2.55 mi.,€ 145.50 mi.,
,Botafogo FR,59.0,24.2,12,€ 2.23 mi.,€ 131.43 mi.,
,Atlético Mineiro,44.0,25.1,10,€ 2.99 mi.,€ 131.35 mi.,
,SC Internacional,51.0,25.1,13,€ 2.42 mi.,€ 123.23 mi.,
,São Paulo FC,49.0,24.1,13,€ 2.32 mi.,€ 113.75 mi.,
,CR Vasco da Gama,64.0,23.2,13,€ 1.67 mi.,€ 106.95 mi.,
,Cruzeiro EC,51.0,23.6,8,€ 1.99 mi.,€ 101.68 mi.,
,Fluminense FC,67.0,24.7,9,€ 1.48 mi.,€ 98.95 mi.,
,Grêmio FBPA,60.0,23.7,14,€ 1.45 mi.,€ 87.00 mi.,
,EC Bahia,63.0,22.3,7,€ 1.22 mi.,€ 76.95 mi.,
,RB Bragantino,61.0,21.0,9,€ 1.22 mi.,€ 74.25 mi.,
,Athletico Paranaense,54.0,22.4,9,€ 1.20 mi.,€ 64.60 mi.,
,Fortaleza EC,43.0,26.3,10,€ 1.05 mi.,€ 45.05 mi.,
,Atlético Goianiense,55.0,24.1,11,€ 593 mil,€ 32.60 mi.,
,Criciúma EC,48.0,25.0,7,€ 646 mil,€ 31.00 mi.,
,EC Vitória,60.0,25.2,3,€ 517 mil,€ 31.00 mi.,
,Cuiabá EC,45.0,23.1,2,€ 522 mil,€ 23.48 mi.,
,EC Juventude,53.0,24.2,2,€ 408 mil,€ 21.60 mi.,
,,,1096.0,23.8 Anos,181,€ 1.65 mi.,€ 1.81 Bi.
